# platform=debian kernel=linux host=lg1 device=rpi2 sample_rate=48000
frame,samples,total_ms,wait_ms,exec_ms,copy_ms,sound_ms,tg_ms,ui_ms,plot_ms,bg_fps,bg_sps,bg_spf,fg_fps,fg_sps,fg_spf
157,1024,8.915,1.469,7.446,0.007,0.059,0.081,0.345,6.952,47.4,48567.1,1024.0,41.6,48182.3,1158.0
158,1024,16.466,8.035,8.431,0.011,0.117,0.384,0.808,7.100,47.4,48567.1,1024.0,41.6,48182.3,1158.0
159,1024,30.811,20.539,10.272,0.011,0.064,2.833,0.351,7.004,47.4,48567.1,1024.0,41.6,48182.3,1158.0
160,1024,20.267,9.847,10.420,0.007,0.060,2.946,0.335,7.069,47.4,48567.1,1024.0,41.6,48182.3,1158.0
161,1024,30.978,20.389,10.589,0.015,0.063,3.048,0.354,7.100,47.4,48567.1,1024.0,41.6,48182.3,1158.0
162,1024,19.994,9.578,10.416,0.008,0.059,2.900,0.341,7.105,47.4,48567.1,1024.0,41.6,48182.3,1158.0
163,1024,31.613,20.969,10.644,0.012,0.065,3.007,0.375,7.176,47.4,48567.1,1024.0,41.6,48182.3,1158.0
164,1024,18.171,9.168,9.003,0.008,0.059,1.372,0.336,7.225,47.4,48567.1,1024.0,41.6,48182.3,1158.0
165,1024,26.627,18.684,7.943,0.014,0.064,0.096,0.394,7.364,47.4,48567.1,1024.0,41.6,48182.3,1158.0
166,1024,14.612,5.579,9.033,0.007,0.081,0.969,0.690,7.282,47.4,48567.1,1024.0,41.6,48182.3,1158.0
167,1024,30.139,19.410,10.729,0.009,0.062,2.847,0.348,7.456,47.4,48567.1,1024.0,41.6,48182.3,1158.0
168,1024,19.597,9.072,10.525,0.007,0.070,2.640,0.336,7.468,47.4,48567.1,1024.0,41.6,48182.3,1158.0
169,1024,29.723,19.153,10.570,0.011,0.066,2.643,0.357,7.482,46.9,48031.9,1024.0,42.1,47698.7,1132.0
170,1024,18.203,7.794,10.409,0.008,0.059,2.545,0.336,7.459,46.9,48031.9,1024.0,42.1,47698.7,1132.0
171,1024,28.647,18.297,10.350,0.009,0.059,2.357,0.356,7.564,46.9,48031.9,1024.0,42.1,47698.7,1132.0
